Release_Year,Index
1980,3.061213592
1981,2.774961496
1982,2.613927461
1983,2.532570281
1984,2.427757459
1985,2.344275093
1986,2.30149635
1987,2.220457746
1988,2.132240068
1989,2.034225806
1990,1.929946442
1991,1.852011747
1992,1.797890235
1993,1.745633218
1994,1.702051282
1995,1.655144357
1996,1.607673678
1997,1.571613707
1998,1.547509202
1999,1.514069628
2000,1.464831591
2001,1.424302654
2002,1.402134519
2003,1.370891304
2004,1.335330863
2005,1.291571941
2006,1.251210317
2007,1.216560079
2008,1.171576801
2009,1.175759892
2010,1.156785413
2011,1.121388465
2012,1.098652404
2013,1.082792103
2014,1.06550757
2015,1.064244337
2016,1.050986013
2017,1.029063316
2018,1.00452795
2019,1
